"";"Pel_CHP1_PubGel1";"Pel_PV1_PubGel1";"Pel_PubGel1_Demel1";"Pel_CHP1_Demel1";"Pel_PV1_Demel1";"Pel_PubGel1_Demel2";"Pel_CHP1_Demel2";"Pel_PV1_Demel2";"Pfuel_PubGfuel1_GaBo1";"Pfuel_PubGfuel1_CHP1";"Pth_CHP1_TS1";"Pth_GaBo1_Demth1";"Pth_TS1_Demth1";"Eth_TS1";"Op_CHP1";"epex"
"3264";0;0;7,749;0;0;0;0;0;6,66666666666667;0;0;6;0;69,78;0;0,02255533
"3265";0;0;7,668;0;0;0;0;0;0;0;0;0;3,09;66,5154983021102;0;0,012517506
"3266";0;0;7,659;0;0;0;0;0;0;0;0;0;3,015;63,3341602770357;0;0,012517506
"3267";0;0;7,767;0;0;0;0;0;0;0;0;0;2,85;60,3257779539809;0;0,012517506
"3268";0;-5,89805981832114e-16;7,98375216;0;0,0442478400000006;0;0;0;0;0;0;0;3,015;57,1599188155531;0;0,012517506
"3269";0;-8,88178419700125e-16;8,016423;0;0,434577000000001;0;0;0;0;0;0;0;5,115;51,9019766704606;0;0,04917313
"3270";0;4,44089209850063e-16;7,8863259;0;1,8291741;0;0;0;0;0;0;0;7,605;44,167183276181;0;0,04917313
"3271";0;1,77635683940025e-15;2,364844494;0;8,547655506;0;0;0;0;0;0;0;8,22;35,8367325958614;0;0,04917313
"3272";0;1,803748335;0;0;11,40759;0;0;0;0;0;0;0;7,515;28,2321142140213;0;0,04917313
"3273";0;7,695715986;0;0;11,4651;0;0;0;0;0;0;0;6,915;21,2465130121675;0;0,027538864
"3274";0;12,510042234;0;0;11,60748;0;0;0;0;0;0;0;6,765;14,4283809887387;0;0,027538864
"3275";0;15,485114043;0;0;11,87937;0;0;0;0;0;0;0;6,345;8,04729934671611;0;0,027538864
"3276";0;17,074789521;0;0;11,88396;0;0;0;0;0;0;0;6,09;1,93717513634883;0;0,027538864
"3277";0;16,154434095;0;0;11,81988;0;0;0;4,58629915187385;0;0;4,12766923668647;1,93233076331353;0;0;-0,025272028
"3278";0;15,351643677;0;0;11,56491;0;0;0;6,13333333333333;0;0;5,52;0;0;0;-0,025272028
"3279";0;12,330262422;0;0;11,3481;0;0;0;6,03333333333333;0;0;5,43;0;0;0;-0,025272028
"3280";0;7,335673152;0;0;11,18268;0;0;0;5,78333333333333;0;0;5,205;0;0;0;-0,025272028
